keycodeid,keyword,ProductCode,ProductName,synonymId,synonymkeyword
1571,Coal tar,5187,Lubricant Product,NULL,NULL
1578,Nitrogen compound,3840,Chemical,NULL,NULL
1580,Nitric acid,3444,Acid,NULL,NULL
1582,Sodium nitrate,3840,Chemical,NULL,NULL
1585,Liquid ammonia,3840,Chemical,NULL,NULL
1586,Ammonium chloride,3840,Chemical,NULL,NULL
1587,Ammonium sulphate,5868,Fertilizer Product,NULL,NULL
1596,propylene,3840,Chemical,NULL,NULL
1610,Synthetic rubber,802,Rubber Product,NULL,NULL
1621,Paint,47,Paint,NULL,NULL
1622,PU Paint,47,Paint,NULL,NULL
1624,Red Oxide,47,Paint,NULL,NULL
1625,Road paint,3042,Thermoplastic Paint,NULL,NULL
1630,Road Marking Paint,47,Paint,14010,Road Marking Paint
1632,Plastic paint,47,Paint,NULL,NULL
1633,Thermoplastic paint,3042,Thermoplastic Paint,NULL,NULL
1634,Acrylic Emulsion Paint,47,Paint,NULL,NULL
1636,Aluminium paint,47,Paint,NULL,NULL
1643,Ink,5921,Stationery,NULL,NULL
1644,Printing ink,5921,Stationery,NULL,NULL
1649,Putty,47,Paint,NULL,NULL
1652,Grout,47,Paint,NULL,NULL
1654,Paint stripper,3840,Chemical,NULL,NULL
1657,Medicinal product,427,Drug,NULL,NULL
1658,Medicine,1317,Medicine,NULL,NULL
1659,Drugs,427,Drug,NULL,NULL
1663,Anti Inflammatory,427,Drug,NULL,NULL
1664,Anti Infective,427,Drug,NULL,NULL
1666,Insulin,10099,Disposable Medical - Surgical Items,NULL,NULL
1667,Vitamins,1317,Medicine,NULL,NULL
1671,Antithrombotic agents,427,Drug,NULL,NULL
1677,Blood substitutes,657,Lab Equipment,NULL,NULL
1695,Corticosteroids,427,Drug,NULL,NULL
1706,Contraceptives,427,Drug,NULL,NULL
1715,Antisera,427,Drug,NULL,NULL
1718,Tetanus vaccine,5517,Vaccines,NULL,NULL
1749,Perfusion solutions,657,Lab Equipment,NULL,NULL
1760,Contrast media,10099,Disposable Medical - Surgical Items,NULL,NULL
1767,Urological reagents,6194,Reagent,NULL,NULL
1768,X ray contrast media,3840,Chemical,NULL,NULL
1776,Glycerol,3840,Chemical,NULL,NULL
1786,Scouring powder,3840,Chemical,NULL,NULL
1788,Soap,2576,Soap,NULL,NULL
1789,Washing powder,4297,Detergent,NULL,NULL
1799,Toiletries,5256,Toiletries,NULL,NULL
1809,Hair oil,5256,Toiletries,NULL,NULL
1812,toothpaste,5256,Toiletries,NULL,NULL
1847,Drilling mud,3391,Drill Machine,NULL,NULL
1848,Silicon grease,5187,Lubricant Product,NULL,NULL
1851,Fire extinguisher powder,523,Fire Fighting System,NULL,NULL
1893,Truck tyre,1393,Tyre,NULL,NULL
1895,Aircraft tyre,1393,Tyre,NULL,NULL
1898,Rubber tube,1393,Tyre,NULL,NULL
1922,Pharmaceutical articles,427,Drug,NULL,NULL
1940,Rubber scrap,10123,rubber scrap,NULL,NULL
1941,Rubber gloves,3671,Gloves,NULL,NULL
1942,Disposable gloves,10099,Disposable Medical - Surgical Items,NULL,NULL
1944,Rubber tiles,802,Rubber Product,NULL,NULL
1946,Rubber cushion,2676,Mattress,NULL,NULL
1975,Plastic film,4849,Plastic Film,NULL,NULL
1977,Cling film,4849,Plastic Film,NULL,NULL
2044,Reflective tape,205,Adhesive,NULL,NULL
2052,Plastic table,3048,Table,NULL,NULL
2094,Plastic gloves,3671,Gloves,NULL,NULL
2105,Epoxy resin,5863,Epoxy,NULL,NULL
2108,Radiology film,4849,Plastic Film,NULL,NULL
2109,X ray film,420,X Ray Film,NULL,NULL
2117,Glass,2069,Glass,NULL,NULL
2118,Sheet glass,2069,Glass,NULL,NULL
2120,Float glass,2069,Glass,NULL,NULL
2121,Curtain wall glazing,186,Wall,NULL,NULL
2123,Glass sheet,3986,Glassware Item,NULL,NULL
2126,Window glass,3965,Window,NULL,NULL
2128,Safety glass,2069,Glass,NULL,NULL
2138,Glassware,3986,Glassware Item,NULL,NULL
